seed,model,auc,accuracy,sensitivity,specificity,f1,precision,best_params
0,Logistic Regression (Elastic Net),0.8889,0.8182,1.0,0.6923,0.8182,0.6923,"{""C"": 1.96282248134428, ""l1_ratio"": 0.7151893663724195}"
0,Random Forest,0.8462,0.7273,0.6667,0.7692,0.6667,0.6667,"{""max_features"": 0.5939321535345923, ""min_samples_leaf"": 11, ""max_depth"": 13}"
0,SVM (RBF Kernel),0.8462,0.7273,0.8889,0.6154,0.7273,0.6154,"{""C"": 0.5547119471592125, ""gamma"": 0.3766576841599298}"
0,XGBoost,0.8462,0.7727,0.7778,0.7692,0.7368,0.7,"{""n_estimators"": 187, ""max_depth"": 7, ""learning_rate"": 0.07768811685516967, ""subsample"": 0.7724415914984484, ""colsample_bytree"": 0.7118273996694524, ""reg_alpha"": 0.03833332156156663, ""reg_lambda"": 0.0056279320474151686}"
1,Logistic Regression (Elastic Net),0.7521,0.7273,0.4444,0.9231,0.5714,0.8,"{""C"": 0.3177840006884068, ""l1_ratio"": 0.7203244934421581}"
1,Random Forest,0.7949,0.6818,0.4444,0.8462,0.5333,0.6667,"{""max_features"": 0.47531980423231657, ""min_samples_leaf"": 11, ""max_depth"": 3}"
1,SVM (RBF Kernel),0.7607,0.7273,0.7778,0.6923,0.7,0.6364,"{""C"": 0.12164941464151847, ""gamma"": 0.3995972283135064}"
1,XGBoost,0.7778,0.6818,0.4444,0.8462,0.5333,0.6667,"{""n_estimators"": 154, ""max_depth"": 7, ""learning_rate"": 0.010003890870040017, ""subsample"": 0.6511662863159199, ""colsample_bytree"": 0.5733779454085566, ""reg_alpha"": 0.00023407464805767542, ""reg_lambda"": 0.0005559565426712572}"
2,Logistic Regression (Elastic Net),0.5897,0.5909,0.5556,0.6154,0.5263,0.5,"{""C"": 0.41301841228098785, ""l1_ratio"": 0.025926231827891333}"
2,Random Forest,0.7436,0.6364,0.5556,0.6923,0.5556,0.5556,"{""max_features"": 0.49239541192780345, ""min_samples_leaf"": 1, ""max_depth"": 12}"
2,SVM (RBF Kernel),0.5556,0.6364,0.4444,0.7692,0.5,0.5714,"{""C"": 0.15134724182275533, ""gamma"": 0.0001347817711680272}"
2,XGBoost,0.641,0.5455,0.4444,0.6154,0.4444,0.4444,"{""n_estimators"": 159, ""max_depth"": 2, ""learning_rate"": 0.06485121677838487, ""subsample"": 0.7176611963091384, ""colsample_bytree"": 0.7101839010437445, ""reg_alpha"": 0.002095749079193946, ""reg_lambda"": 0.00065855876778994}"
3,Logistic Regression (Elastic Net),0.6838,0.5909,0.5556,0.6154,0.5263,0.5,"{""C"": 2.0173786271782257, ""l1_ratio"": 0.7081478226181048}"
3,Random Forest,0.7521,0.7273,0.6667,0.7692,0.6667,0.6667,"{""max_features"": 0.595718112317118, ""min_samples_leaf"": 11, ""max_depth"": 8}"
3,SVM (RBF Kernel),0.6923,0.7273,0.7778,0.6923,0.7,0.6364,"{""C"": 0.5675309007891907, ""gamma"": 0.34732745419122313}"
3,XGBoost,0.6838,0.7273,0.6667,0.7692,0.6667,0.6667,"{""n_estimators"": 188, ""max_depth"": 6, ""learning_rate"": 0.026896859411709814, ""subsample"": 0.7554138025988315, ""colsample_bytree"": 0.9464734771738273, ""reg_alpha"": 0.3847444428703613, ""reg_lambda"": 0.00031793712435622054}"
4,Logistic Regression (Elastic Net),0.7521,0.6364,0.6667,0.6154,0.6,0.5455,"{""C"": 634.1310723409239, ""l1_ratio"": 0.5472322491757223}"
4,Random Forest,0.6752,0.6364,0.5556,0.6923,0.5556,0.5556,"{""max_features"": 0.970326855112309, ""min_samples_leaf"": 9, ""max_depth"": 20}"
4,SVM (RBF Kernel),0.7607,0.7273,0.7778,0.6923,0.7,0.6364,"{""C"": 68.41466347789017, ""gamma"": 0.054470485460508394}"
4,XGBoost,0.7521,0.8182,0.6667,0.9231,0.75,0.8571,"{""n_estimators"": 292, ""max_depth"": 5, ""learning_rate"": 0.273383778839164, ""subsample"": 0.8574079968371824, ""colsample_bytree"": 0.8488644122986354, ""reg_alpha"": 0.0007317419987380097, ""reg_lambda"": 0.8037071262320876}"
5,Logistic Regression (Elastic Net),0.5,0.5909,0.0,1.0,0.0,0.0,"{""C"": 0.021476278468768907, ""l1_ratio"": 0.8707323061773764}"
5,Random Forest,0.7094,0.6818,0.6667,0.6923,0.6316,0.6,"{""max_features"": 0.2997938539807655, ""min_samples_leaf"": 14, ""max_depth"": 6}"
5,SVM (RBF Kernel),0.6239,0.5909,0.0,1.0,0.0,0.0,"{""C"": 0.012881482725481003, ""gamma"": 2.257675556068156}"
5,XGBoost,0.735,0.7727,0.7778,0.7692,0.7368,0.7,"{""n_estimators"": 105, ""max_depth"": 8, ""learning_rate"": 0.020199901797267186, ""subsample"": 0.9593054539689607, ""colsample_bytree"": 0.7442055943974146, ""reg_alpha"": 0.027988231123708972, ""reg_lambda"": 0.11577943500765484}"
6,Logistic Regression (Elastic Net),0.8034,0.7727,0.7778,0.7692,0.7368,0.7,"{""C"": 227.59405236972594, ""l1_ratio"": 0.3319798053011772}"
6,Random Forest,0.812,0.7727,0.8889,0.6923,0.7619,0.6667,"{""max_features"": 0.9035741362924015, ""min_samples_leaf"": 5, ""max_depth"": 17}"
6,SVM (RBF Kernel),0.8462,0.7727,0.7778,0.7692,0.7368,0.7,"{""C"": 29.127335430981816, ""gamma"": 0.004569819289355834}"
6,XGBoost,0.8205,0.7727,0.7778,0.7692,0.7368,0.7,"{""n_estimators"": 274, ""max_depth"": 4, ""learning_rate"": 0.16332587466589954, ""subsample"": 0.5208483128626249, ""colsample_bytree"": 0.553828339967984, ""reg_alpha"": 0.023999835049635022, ""reg_lambda"": 0.01316041088645058}"
7,Logistic Regression (Elastic Net),0.5,0.5909,0.0,1.0,0.0,0.0,"{""C"": 0.002869787477867181, ""l1_ratio"": 0.7799187922401146}"
7,Random Forest,0.8376,0.7727,0.6667,0.8462,0.7059,0.75,"{""max_features"": 0.16867746043656145, ""min_samples_leaf"": 12, ""max_depth"": 10}"
7,SVM (RBF Kernel),0.7607,0.6818,0.7778,0.6154,0.6667,0.5833,"{""C"": 0.002407362254570802, ""gamma"": 0.7935859334260503}"
7,XGBoost,0.7265,0.7727,0.6667,0.8462,0.7059,0.75,"{""n_estimators"": 69, ""max_depth"": 7, ""learning_rate"": 0.04442051547936957, ""subsample"": 0.8617325889154706, ""colsample_bytree"": 0.9889947559983013, ""reg_alpha"": 0.014255533717547383, ""reg_lambda"": 0.010103732850016273}"
8,Logistic Regression (Elastic Net),0.735,0.7273,0.6667,0.7692,0.6667,0.6667,"{""C"": 174.0108853820365, ""l1_ratio"": 0.968540662820932}"
8,Random Forest,0.7179,0.6364,0.6667,0.6154,0.6,0.5455,"{""max_features"": 0.8860864625126346, ""min_samples_leaf"": 15, ""max_depth"": 18}"
8,SVM (RBF Kernel),0.5983,0.5455,0.0,0.9231,0.0,0.0,"{""C"": 23.288794782471303, ""gamma"": 6.961507800412916}"
8,XGBoost,0.7692,0.7273,0.5556,0.8462,0.625,0.7143,"{""n_estimators"": 269, ""max_depth"": 8, ""learning_rate"": 0.19226743381643505, ""subsample"": 0.7654278457777994, ""colsample_bytree"": 0.6163641639886454, ""reg_alpha"": 0.00011106960237430257, ""reg_lambda"": 0.0052707846583743365}"
9,Logistic Regression (Elastic Net),0.5,0.4091,1.0,0.0,0.5806,0.4091,"{""C"": 0.0011541039390580601, ""l1_ratio"": 0.5018745921487388}"
9,Random Forest,0.8718,0.7727,0.7778,0.7692,0.7368,0.7,"{""max_features"": 0.10933673849712996, ""min_samples_leaf"": 8, ""max_depth"": 11}"
9,SVM (RBF Kernel),0.5,0.8182,0.5556,1.0,0.7143,1.0,"{""C"": 0.0011268620922535318, ""gamma"": 0.03231267858871047}"
9,XGBoost,0.8205,0.7727,0.7778,0.7692,0.7368,0.7,"{""n_estimators"": 52, ""max_depth"": 5, ""learning_rate"": 0.05399048997603616, ""subsample"": 0.5669147644796383, ""colsample_bytree"": 0.5710555427272692, ""reg_alpha"": 0.0007485739374074099, ""reg_lambda"": 0.004720986103282591}"
